Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp
Lauren,br BRA,DF,Madrid CFF,20-086,2002,11,11,990,1,0,1,0,0,2,0,1.4,1.4,0.1,9dde3aba,89818574,10,4,0.10,0.25,7.5,0,0.14,-0.4,-0.4,373,490,8364,4373,0.0,-0.1,2,14,1,1,12,4,3,0,0,1,0,0,1,0,0,0,1,0,0,12,10,8,3,1,1,2,1,16,11,5,14,26,61,0,618,171,456,145,18,14,618,0,1,5,0,343,1,90,90,11,0,,,2.00,22,15,+7,,16.7,11.0,+5.7,,0,4,2,1,1,10,0,0,0,53,29,7,0
Laurina,,"FW,MF",Real Betis,22-234,2000,8,1,175,0,0,0,0,0,1,0,0.1,0.1,0.0,5fea5453,74142337,1,0,0.00,,9.2,0,0.13,-0.1,-0.1,43,54,694,126,0.0,0.0,1,1,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,4,3,2,0,2,2,4,0,0,68,2,9,30,29,3,68,0,2,5,2,47,9,22,65,0,7,16,2,1.13,1,5,-4,-1.06,1.2,5.2,-4.0,-0.53,0,4,0,0,2,0,0,0,0,5,1,2,0
Jade Le Guilly,fr FRA,DF,Real Sociedad,20-173,2002,9,7,638,1,0,1,0,0,1,0,0.9,0.9,0.5,937e27c5,c21f25d3,8,4,0.13,0.25,14.6,0,0.11,+0.1,+0.1,342,444,5792,2361,0.6,-0.5,6,33,4,3,23,16,11,3,0,2,0,0,1,1,0,0,0,0,0,11,8,2,9,0,5,8,3,5,3,2,12,23,11,0,517,18,131,227,161,14,517,5,18,8,7,301,25,71,85,4,2,23,1,1.67,14,5,+9,+1.01,13.7,8.4,+5.3,+0.11,0,4,6,0,23,8,0,0,0,38,7,5,0
Mariah Lee,us USA,FW,Sporting Huelva,26-161,1996,5,4,309,0,0,0,0,0,0,0,0.4,0.4,0.2,fb8712fd,27acb0af,1,1,0.00,0.00,3.8,0,0.38,-0.4,-0.4,42,64,812,151,0.0,-0.2,4,6,0,0,4,7,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,86,1,8,48,34,7,86,2,3,11,7,55,7,62,72,1,1,21,1,0.80,0,9,-9,-2.36,1.5,8.3,-6.8,-1.24,0,3,2,1,4,1,0,0,0,11,2,7,0
Leles,,MF,Real Betis,25-289,1997,11,9,749,1,1,1,0,0,2,0,0.1,0.1,0.3,3204f0a1,74142337,3,1,0.33,1.00,11.8,0,0.05,+0.9,+0.9,251,336,4199,1143,0.4,+0.7,5,18,2,1,25,13,9,2,0,0,1,1,3,2,1,0,0,0,0,18,13,4,12,2,11,19,8,10,5,5,14,32,18,0,431,33,139,236,60,6,431,2,6,17,2,193,2,68,75,4,2,35,,0.91,12,17,-5,+2.39,6.3,16.4,-10.1,+1.68,0,14,11,0,2,13,0,0,0,68,9,11,0
Mapi León,es ESP,DF,Barcelona,27-178,1995,11,10,839,3,4,3,0,0,2,0,0.3,0.3,2.5,d41a5309,15f49df1,6,4,0.50,0.75,26.0,3,0.05,+2.7,+2.7,775,866,15819,7482,2.5,+1.5,23,103,8,2,75,44,19,24,0,1,0,0,9,5,4,0,0,0,0,9,6,4,4,1,4,8,4,9,3,6,9,18,9,0,920,79,379,447,101,2,920,1,2,7,4,656,5,76,83,8,1,14,,3.00,40,4,+36,+0.88,28.2,6.0,+22.2,-0.11,0,12,11,0,55,6,0,0,0,82,4,9,0
Elene Lete,es ESP,GK,Real Sociedad,20-215,2002,5,5,450,0,0,0,0,0,0,0,0.0,0.0,0.0,f80fa3e9,c21f25d3,0,0,,,,0,,0.0,0.0,152,185,3079,1816,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,196,171,194,2,0,0,196,0,0,2,0,113,0,90,90,5,0,,6,1.80,10,5,+5,+0.17,10.3,3.9,+6.4,+1.05,0,0,1,0,0,0,0,0,0,14,0,0,0
Nuria Ligero,,DF,Real Betis,31-095,1991,7,6,525,0,0,0,0,0,0,0,0.0,0.0,0.1,e1d6961d,74142337,1,0,0.00,,29.4,0,0.02,0.0,0.0,193,276,3117,1635,0.2,-0.1,3,14,4,2,18,12,7,4,0,0,0,1,1,1,0,0,0,0,0,11,9,6,5,0,9,17,8,6,2,4,5,16,3,0,311,11,92,167,54,0,311,1,3,3,1,129,2,75,82,4,1,31,4,1.29,10,10,0,+2.52,5.4,12.6,-7.2,+0.84,0,1,3,1,10,9,0,0,0,44,1,9,0
Estefanía Lima,,"MF,FW",Villarreal,33-211,1989,11,4,388,0,2,0,0,0,1,0,0.6,0.6,1.6,ec6de98d,7a7bef84,6,1,0.00,0.00,10.8,0,0.09,-0.6,-0.6,63,129,1116,589,0.7,+0.4,7,13,5,2,17,6,6,0,0,0,0,0,1,1,0,0,0,0,0,5,1,1,4,0,1,5,4,3,1,2,2,7,6,0,171,8,29,85,57,10,171,2,5,6,6,107,14,35,62,1,7,20,,0.91,3,15,-12,-1.89,4.0,6.6,-2.6,+0.07,0,8,2,1,9,1,0,0,0,21,13,7,0
Eva Llamas,es ESP,MF,Sevilla,30-193,1992,7,5,386,0,1,0,0,0,2,0,0.1,0.1,0.1,551f91a6,215d9026,5,1,0.00,0.00,21.0,0,0.03,-0.1,-0.1,91,129,1569,719,0.1,+0.9,1,14,1,0,19,5,4,0,0,1,0,0,2,2,0,0,0,0,0,10,6,4,4,2,5,15,10,11,3,8,4,14,5,0,182,5,38,112,34,3,182,1,2,8,6,89,6,55,75,2,2,6,,1.14,8,10,-2,-0.62,6.8,4.9,+1.8,+0.20,0,8,4,0,3,6,0,0,0,24,4,4,0
María Llompart,,"MF,FW",Villarreal,22-050,2000,11,9,701,0,1,0,0,0,1,0,0.4,0.4,1.2,7f9fb342,7a7bef84,11,4,0.00,0.00,28.2,4,0.03,-0.4,-0.4,160,245,3145,1085,1.2,-0.2,11,11,3,2,13,34,10,13,1,4,6,0,1,1,0,0,0,0,0,21,11,5,13,3,8,20,12,9,1,8,3,24,6,0,339,7,52,171,120,3,339,6,13,24,16,182,17,64,70,0,2,35,,0.91,6,18,-12,+0.33,6.8,9.8,-3.1,+0.90,0,16,15,1,28,11,0,0,0,54,4,12,0
Silvia Lloris,es ESP,"MF,FW",Levante,18-207,2004,9,2,181,0,1,0,0,0,2,0,0.0,0.0,0.6,c1f9c0b1,0f4738a8,1,0,0.00,,31.1,0,0.03,0.0,0.0,84,118,1678,659,0.5,+0.4,1,9,0,0,8,6,5,0,0,1,0,0,2,1,0,0,1,0,0,11,8,2,9,0,2,2,0,1,1,0,1,12,5,1,141,6,42,83,17,2,141,1,1,4,1,88,2,20,56,0,7,10,1,2.11,7,5,+2,-0.56,3.6,3.2,+0.3,-1.42,0,2,3,0,1,8,0,0,0,17,5,4,0
Bárbara López,,"FW,MF",Sporting Huelva,17-100,2005,11,2,413,1,1,1,0,0,2,0,0.9,0.9,0.5,9b2eca77,27acb0af,11,7,0.09,0.14,16.4,0,0.09,+0.1,+0.1,46,75,743,147,0.4,+0.5,7,4,1,0,6,16,10,0,2,0,4,0,2,1,0,0,0,1,0,8,5,2,4,2,1,2,1,3,0,3,0,8,2,0,131,0,13,46,76,22,131,2,11,15,12,87,25,38,71,0,9,30,,1.09,5,8,-3,+0.59,3.8,8.4,-4.5,+0.22,0,6,8,2,5,5,1,0,0,16,1,3,0
María López,es ESP,GK,Levante,20-012,2002,7,7,545,0,0,0,0,0,0,0,0.0,0.0,0.0,8fd92426,0f4738a8,0,0,,,,0,,0.0,0.0,175,210,3661,2350,0.0,0.0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,5,3,223,192,223,0,0,0,223,0,0,0,0,109,0,78,78,6,0,,,1.86,15,10,+5,-1.40,12.9,6.4,+6.5,-0.57,0,0,0,0,0,1,0,0,0,7,1,0,0
Maitane López Millán,es ESP,MF,Atlético Madrid,27-270,1995,9,9,780,0,0,0,0,0,2,0,0.3,0.3,0.6,3ca55cb5,b56c2667,5,0,0.00,,17.7,0,0.05,-0.3,-0.3,246,320,4549,1357,0.5,-0.6,7,33,2,0,24,14,14,0,0,0,0,0,1,1,0,0,0,0,0,18,13,6,12,0,4,8,4,11,0,11,13,31,7,0,408,12,80,275,56,10,408,0,6,17,8,211,7,87,87,8,0,,,2.22,18,7,+11,+2.55,17.1,5.4,+11.7,+1.89,0,12,7,4,2,13,0,0,0,53,19,17,0
Sara López,,DF,UDG Tenerife,20-326,2002,7,4,431,0,0,0,0,0,1,0,0.0,0.0,0.3,7ea14a04,4c088abe,1,0,0.00,,31.1,0,0.03,0.0,0.0,109,183,2654,975,0.2,-0.3,1,8,0,0,5,3,3,0,0,0,0,0,1,1,0,0,0,0,0,13,11,12,1,0,8,11,3,3,2,1,5,18,13,0,220,21,147,72,2,0,220,1,1,1,1,110,0,62,90,4,3,24,3,1.14,5,6,-1,+0.17,5.6,4.9,+0.7,+0.46,0,2,0,0,1,11,0,0,0,27,2,2,0
Saray López,,MF,Valencia,18-123,2004,1,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,33cb59bd,f96ff499,0,0,,,,0,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,1,5,2,3.00,0,0,0,-0.27,0.4,0.0,+0.4,+6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicky López,,"MF,FW",Barcelona,16-135,2006,2,1,68,0,0,0,0,0,0,0,0.1,0.1,0.0,78c237d1,15f49df1,2,0,0.00,,15.8,0,0.05,-0.1,-0.1,31,37,404,73,0.1,0.0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,45,0,2,22,21,3,45,1,1,2,1,33,2,34,61,0,1,7,1,3.00,1,0,+1,-2.58,1.1,0.4,+0.7,-1.58,0,0,0,0,0,1,0,0,0,4,1,0,0
Ludmila,br BRA,FW,Atlético Madrid,28-007,1994,10,10,818,8,1,7,1,2,2,0,5.4,3.8,2.4,7fa57813,b56c2667,22,12,0.32,0.58,15.7,0,0.17,+2.6,+3.2,122,207,1971,397,2.0,-1.4,12,5,15,3,19,29,16,0,6,2,5,0,5,2,0,2,0,1,0,15,7,3,7,5,2,6,4,7,1,6,7,22,0,0,336,2,22,110,210,51,334,14,26,36,21,235,98,82,82,4,0,,,2.00,16,9,+7,+0.25,17.1,6.3,+10.7,+1.32,0,15,17,9,22,7,1,0,0,41,4,4,0
Hanna Lundkvist,se SWE,"DF,MF",Atlético Madrid,20-144,2002,9,4,370,0,0,0,0,0,0,0,0.0,0.0,0.1,37ed9d8f,b56c2667,1,0,0.00,,23.4,0,0.04,0.0,0.0,146,184,2418,1012,0.2,-0.1,2,8,2,1,6,7,5,2,0,0,0,0,1,1,0,0,0,0,0,8,5,4,3,1,1,2,1,3,1,2,7,15,8,0,236,11,84,98,57,4,236,2,7,14,5,131,10,41,75,1,5,14,2,2.22,11,2,+9,+2.33,9.1,2.9,+6.1,+0.87,0,2,3,0,4,5,0,0,0,21,2,1,0
Ana Marcos,es ESP,FW,Valencia,22-152,2000,11,9,884,3,0,2,1,2,1,0,5.8,4.3,0.7,09bbe355,f96ff499,34,12,0.06,0.17,15.4,1,0.13,-2.8,-2.3,123,186,1760,408,0.3,-0.7,10,5,4,0,8,18,9,1,2,3,3,0,2,2,0,0,0,0,0,10,7,2,5,3,1,7,6,14,1,13,3,13,3,0,314,4,22,121,172,52,312,4,8,37,21,214,41,80,90,9,2,37,,1.36,10,9,+1,-1.60,12.4,11.3,+1.1,-0.56,0,14,9,4,2,7,0,0,0,24,8,22,0
Cecilia Marcos,,"MF,DF",Real Sociedad,21-035,2001,9,4,359,0,0,0,0,0,0,0,0.2,0.2,1.0,4592dd7c,c21f25d3,4,0,0.00,,19.3,0,0.05,-0.2,-0.2,98,136,1596,522,0.6,-1.0,8,8,6,2,13,11,7,1,1,0,1,1,0,0,0,0,0,0,0,7,6,5,2,0,3,6,3,7,0,7,5,12,5,0,183,6,40,82,64,9,183,8,12,9,9,112,17,40,70,1,5,16,1,1.89,8,5,+3,-0.25,8.3,4.6,+3.7,+0.36,0,5,4,2,8,6,0,0,0,31,1,2,0
Ornella María Vignola,es ESP,"MF,FW",Sevilla,18-069,2004,3,0,30,0,0,0,0,0,0,0,0.0,0.0,0.3,c5ce2271,215d9026,1,1,0.00,0.00,29.9,0,0.03,0.0,0.0,9,11,134,43,0.3,-0.3,1,0,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,1,0,0,16,1,2,6,8,0,16,0,3,1,1,12,3,10,,0,3,10,6,1.33,1,1,0,+0.09,0.8,1.0,-0.2,-0.98,0,2,0,0,2,0,0,0,0,2,0,0,0
Rosa Marquez,es ESP,"FW,MF",Real Betis,21-351,2000,6,6,505,0,1,0,0,0,1,0,0.2,0.2,0.2,80e183db,74142337,5,3,0.00,0.00,21.2,0,0.04,-0.2,-0.2,132,160,1657,565,0.2,+0.8,6,10,2,1,8,17,13,0,0,0,2,2,3,3,0,0,0,0,0,11,10,2,6,3,3,9,6,5,0,5,1,12,1,0,225,1,24,116,89,6,225,8,19,21,16,161,12,84,84,5,0,,,0.67,6,13,-7,-0.13,2.6,11.0,-8.4,+0.28,0,2,14,0,4,10,0,0,0,36,0,6,0
Andrea Marrero,,DF,UDG Tenerife,26-063,1996,10,10,878,1,0,1,0,0,1,0,0.4,0.4,0.0,d425eb3b,4c088abe,4,3,0.25,0.33,10.2,0,0.09,+0.6,+0.6,234,306,5028,1919,0.1,0.0,1,8,1,0,14,4,4,0,0,0,0,0,1,1,0,0,0,0,0,7,6,7,0,0,3,6,3,7,5,2,14,21,47,0,405,75,298,103,9,7,405,1,3,1,1,198,1,88,88,9,0,,,1.20,9,11,-2,+3.89,9.2,10.2,-1.0,-0.14,0,1,1,0,0,6,0,0,0,46,13,7,0
Lucía Marte,do DOM,"DF,MF",Real Betis,25-116,1997,2,1,128,0,0,0,0,0,0,0,0.0,0.0,0.0,be71f47a,74142337,0,0,,,,0,,0.0,0.0,32,56,502,221,0.1,0.0,0,4,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,3,2,0,68,0,25,27,17,1,68,0,3,2,1,44,6,64,90,1,1,38,1,0.50,1,3,-2,-0.26,0.5,2.9,-2.3,-0.01,0,2,2,0,3,0,0,0,0,6,1,2,0
Marina Martí,,"FW,MF",Alhama,26-106,1996,11,11,927,0,1,0,0,0,1,0,1.6,1.6,1.1,ffb9b018,e9fecaf2,20,4,0.00,0.00,18.0,0,0.08,-1.6,-1.6,82,183,1555,408,1.2,-0.1,9,5,11,9,4,22,15,0,1,4,1,1,1,1,0,0,0,0,0,11,8,4,5,2,9,12,3,8,1,7,4,15,4,0,284,4,45,99,147,28,284,4,17,32,8,159,55,84,84,6,0,,,0.27,5,18,-13,+4.45,7.4,14.6,-7.3,+1.02,0,5,6,5,50,8,0,0,0,54,3,15,0
Esther Martín-Pozuelo,,DF,Levante Planas,24-061,1998,10,6,609,0,1,0,0,0,2,0,0.0,0.0,0.3,f0b190fd,753b93a5,1,0,0.00,,34.5,1,0.02,0.0,0.0,158,252,2790,1651,0.2,+0.7,3,13,3,2,13,11,3,4,0,1,3,0,3,1,0,0,1,1,0,22,10,17,4,1,6,13,7,8,1,7,12,34,20,0,328,33,163,121,48,2,328,2,4,10,5,93,4,61,78,2,4,36,1,0.80,8,15,-7,+1.09,5.1,14.3,-9.3,-0.86,0,13,7,0,9,10,0,1,0,39,3,2,0
Cristina Martín-Prieto,es ESP,FW,Sevilla,29-269,1993,11,9,823,5,0,5,0,0,0,0,5.1,5.1,0.1,cf98a5b6,215d9026,32,16,0.16,0.31,13.6,0,0.16,-0.1,-0.1,82,174,1121,215,0.4,-0.1,2,3,2,0,6,21,9,1,3,5,3,0,3,0,0,2,1,0,0,7,4,1,3,3,1,2,1,11,3,8,2,9,13,0,297,15,16,113,172,56,297,7,13,40,16,212,52,75,84,4,2,32,,1.09,15,15,0,+0.54,12.7,11.0,+1.7,-0.69,0,7,12,14,5,4,0,0,0,17,23,18,0
Asun Martínez,,"FW,MF",Valencia,20-291,2002,11,7,701,3,1,3,0,0,0,0,1.4,1.4,0.4,6d0122d9,f96ff499,16,7,0.19,0.43,19.7,0,0.08,+1.6,+1.6,102,156,1511,408,0.5,+0.6,5,7,3,2,8,17,6,1,1,3,5,1,2,1,0,0,0,1,0,12,5,5,2,5,7,10,3,8,2,6,4,16,4,0,268,3,35,109,130,32,268,15,37,24,13,167,46,64,80,3,4,36,,1.36,13,9,+4,+0.82,9.1,8.3,+0.8,-0.24,0,2,15,5,14,5,1,0,0,41,3,6,0
Belén Martínez,,"FW,MF",Villarreal,34-014,1988,11,7,588,3,0,3,0,0,0,0,2.8,2.8,0.3,7e31d872,7a7bef84,21,7,0.14,0.43,14.1,0,0.14,+0.2,+0.2,77,125,1125,155,0.2,-0.3,7,0,4,2,3,12,9,0,0,2,1,0,1,1,0,0,0,0,0,12,6,2,6,4,3,8,5,10,1,9,2,14,3,0,214,3,23,82,111,33,214,1,12,25,6,133,25,53,71,1,4,23,,0.91,6,18,-12,-0.49,5.9,9.3,-3.3,+0.36,0,2,7,10,7,6,0,0,0,23,5,6,0
Jessica Martínez,py PAR,"MF,FW",Sevilla,23-177,1999,11,8,606,4,1,3,1,1,2,0,2.5,1.7,1.2,09e61a3d,215d9026,19,7,0.16,0.43,22.0,3,0.09,+1.5,+1.3,114,169,1970,620,1.0,-0.2,11,10,11,1,15,23,14,3,0,1,4,1,2,2,0,0,0,0,0,7,6,2,3,2,5,7,2,9,1,8,3,10,2,0,256,4,21,120,117,17,255,0,6,31,16,163,36,55,69,1,3,19,,1.09,13,13,0,+0.23,10.4,8.2,+2.2,+0.07,0,14,18,2,17,6,0,0,0,35,11,6,0
Laura Martínez,,"MF,DF",Levante Planas,23-313,1999,11,11,908,2,0,2,0,0,0,0,1.3,1.3,0.8,63d6ebea,753b93a5,14,3,0.14,0.67,19.8,0,0.10,+0.7,+0.7,187,317,3144,1159,0.6,-0.8,10,18,4,3,19,20,9,6,0,3,0,2,2,0,0,0,2,0,0,23,15,11,9,3,9,23,14,16,2,14,24,47,12,0,457,16,111,237,112,16,457,3,11,28,14,209,26,83,83,6,0,,,0.73,11,25,-14,+0.81,9.5,19.5,-9.9,+0.65,0,16,8,0,16,15,0,0,0,71,7,9,0
Laura Martínez,,GK,Alhama,22-017,2000,6,6,540,0,0,0,0,0,0,0,0.0,0.0,0.0,53b81e13,e9fecaf2,0,0,,,,0,,0.0,0.0,105,193,3559,2979,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,1,222,197,220,3,0,0,222,0,0,1,0,52,0,90,90,6,0,,5,0.50,2,11,-9,+0.10,3.5,7.8,-4.3,+0.12,0,0,3,0,0,0,0,0,1,4,3,0,0
Lucía Martínez,,MF,Alhama,21-011,2001,11,8,750,0,1,0,0,0,1,0,0.3,0.3,0.5,3dbd60d3,e9fecaf2,12,3,0.00,0.00,31.6,2,0.02,-0.3,-0.3,173,333,4027,1559,0.4,+0.5,4,24,4,1,23,11,8,3,0,0,0,0,1,1,0,0,0,0,0,21,13,6,15,0,9,21,12,8,3,5,12,33,13,0,424,25,141,245,43,5,424,2,5,10,7,140,1,68,79,6,3,40,,0.27,3,19,-16,-1.55,6.2,13.5,-7.3,-0.46,0,12,3,0,11,13,0,0,0,64,12,6,0
Marta Mascarell,,DF,Valencia,17-097,2005,1,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,754f111b,f96ff499,0,0,,,,0,,0.0,0.0,1,1,7,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,3,,0,1,3,4,1.00,0,0,0,-0.27,0.1,0.0,+0.1,+2.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Mata,,DF,Villarreal,29-293,1993,10,10,900,0,0,0,0,0,3,0,0.4,0.4,0.0,ecf1f2a5,7a7bef84,4,0,0.00,,9.5,0,0.11,-0.4,-0.4,146,238,3145,1563,0.1,0.0,1,15,3,0,14,4,3,0,0,0,0,1,0,0,0,0,0,0,0,15,12,12,2,1,7,9,2,14,4,10,19,34,32,1,336,52,205,123,9,5,336,0,0,3,0,121,0,90,90,10,0,,1,1.00,10,25,-15,+1.50,8.4,15.3,-6.9,-0.40,0,9,4,0,1,12,0,0,2,45,8,6,0
Andrea Medina,,DF,Atlético Madrid,18-211,2004,9,4,446,0,0,0,0,0,2,0,0.1,0.1,0.2,96f3022f,b56c2667,3,0,0.00,,20.9,0,0.03,-0.1,-0.1,209,286,3538,1561,0.9,-0.2,5,16,9,6,16,13,11,0,1,0,1,0,0,0,0,0,0,0,0,8,4,6,2,0,1,3,2,6,0,6,19,27,10,0,352,8,103,151,101,6,352,6,8,6,7,197,10,50,76,0,5,29,2,2.11,4,6,-2,-2.06,8.2,5.6,+2.6,-0.77,0,6,13,0,24,4,0,0,0,19,10,4,0
Alba Mellado,es ESP,"MF,FW",Levante Planas,30-265,1992,8,1,223,0,1,0,0,0,0,0,0.3,0.3,0.3,e0a14e54,753b93a5,9,0,0.00,,29.8,2,0.03,-0.3,-0.3,38,62,663,227,0.5,+0.7,2,5,1,0,4,8,3,1,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,1,0,86,2,10,43,34,5,86,4,5,9,1,65,10,28,59,0,7,23,2,0.88,6,3,+3,+3.44,4.2,3.8,+0.5,+1.59,0,2,5,3,5,0,0,0,0,7,1,4,0
Carmen Menayo,es ESP,DF,Atlético Madrid,24-238,1998,5,5,410,0,0,0,0,0,1,0,0.0,0.0,0.0,03213ea0,b56c2667,0,0,,,,0,,0.0,0.0,229,268,5009,1988,0.3,0.0,0,16,1,0,21,2,2,0,0,0,0,0,1,1,0,0,0,0,0,6,5,1,4,1,2,2,0,3,3,0,13,19,8,1,306,24,156,135,16,0,306,3,3,3,2,198,0,82,82,3,0,,,2.00,9,4,+5,+0.63,8.2,2.4,+5.7,+0.53,0,4,3,0,6,5,0,0,1,31,5,0,0
María Méndez,es ESP,DF,Levante,21-242,2001,10,10,900,0,2,0,0,0,1,0,0.4,0.4,0.6,b44fbd50,0f4738a8,4,0,0.00,,11.7,0,0.11,-0.4,-0.4,511,610,11277,5270,1.0,+1.4,7,52,5,1,46,17,15,1,0,0,0,1,3,3,0,0,0,0,0,10,5,5,4,1,3,4,1,4,2,2,12,22,23,0,668,84,342,319,16,10,668,2,3,5,1,447,2,90,90,10,0,,1,2.00,27,14,+13,-1.70,19.9,8.8,+11.1,-2.37,0,2,3,0,2,5,0,0,0,74,15,6,0
Núria Mendoza,es ESP,DF,Levante,26-358,1995,8,7,638,0,1,0,0,0,2,0,0.1,0.1,0.2,b110a65a,0f4738a8,2,0,0.00,,10.8,0,0.06,-0.1,-0.1,472,558,11307,4824,0.2,+0.8,5,48,5,1,43,14,14,0,0,0,0,0,1,1,0,0,0,0,0,11,6,8,3,0,6,7,1,4,0,4,11,22,12,0,599,56,316,276,8,2,599,0,0,2,0,429,1,80,90,7,1,8,3,1.75,19,10,+9,-0.52,18.9,5.2,+13.7,+1.69,0,3,1,0,3,6,0,0,0,57,7,2,0
Teresa Mérida,,DF,Sevilla,20-144,2002,10,10,890,0,0,0,0,0,2,1,0.6,0.6,0.0,318ab9c3,215d9026,3,0,0.00,,7.3,0,0.18,-0.6,-0.6,316,404,6877,2831,0.1,0.0,0,20,1,0,21,3,1,0,0,1,1,0,0,0,0,0,0,0,0,23,14,19,4,0,10,20,10,8,6,2,15,38,24,0,479,58,315,157,12,4,479,3,3,4,1,272,0,89,89,8,0,,,0.90,13,19,-6,-5.11,14.7,11.1,+3.5,+0.57,0,5,4,0,1,14,0,0,1,62,4,1,0
Zala Meršnik,si SVN,GK,Sporting Huelva,21-184,2001,7,7,630,0,0,0,0,0,0,0,0.0,0.0,0.0,87abcda9,27acb0af,0,0,,,,0,,0.0,0.0,89,181,3275,2700,0.0,0.0,1,1,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,1,2,4,0,212,195,212,1,0,0,212,0,0,0,1,26,0,90,90,7,0,,4,1.14,8,13,-5,+0.79,6.1,13.7,-7.6,+0.08,0,0,2,0,0,0,0,0,0,15,5,0,0
Silvia Meseguer,es ESP,"DF,MF",Sevilla,33-271,1989,11,11,934,1,1,1,0,0,4,0,1.3,1.3,0.5,6c9c37a8,215d9026,4,1,0.25,1.00,9.6,0,0.33,-0.3,-0.3,353,443,7518,3447,0.2,+0.5,2,33,3,0,31,8,8,0,0,0,0,0,3,3,0,0,0,0,0,25,10,18,7,0,7,11,4,12,7,5,15,40,22,1,535,54,260,248,27,3,535,4,5,11,7,311,2,85,85,8,0,,,1.09,18,16,+2,+5.01,14.9,11.3,+3.6,+0.74,0,7,3,0,0,10,0,1,0,84,6,8,0
Malena Mieres,,GK,Real Betis,22-254,2000,7,7,630,0,0,0,0,0,0,0,0.0,0.0,0.0,c655f0b8,74142337,0,0,,,,0,,0.0,0.0,220,396,6766,5310,0.0,0.0,0,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,12,2,424,284,417,7,0,0,424,0,0,0,0,216,0,90,90,7,0,,3,1.00,10,17,-7,+0.50,4.9,18.3,-13.4,-0.80,0,0,0,0,0,1,0,0,0,21,0,1,0
