Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp
Ereleta Memeti,xk KVX,"FW,MF",Hoffenheim,23-161,1999,9,9,715,4,2,4,0,0,0,0,2.4,2.4,1.3,d782c918,87705c62,18,7,0.22,0.57,15.7,0,0.13,+1.6,+1.6,0,185,1925,608,1.0,+0.7,11,8,10,2,13,23,17,0,1,2,2,1,4,2,0,0,1,1,0,22,14,10,5,7,6,10,4,15,1,14,4,26,4,0,311,5,50,119,151,29,311,12,32,24,19,183,43,76,80,6,1,47,0,0.11,5,21,-16,+0.86,5.1,18.3,-13.2,-0.55,0,7,12,2,8,14,2,0,0,43,4,7,140
Christin Meyer,de GER,"FW,MF",Werder Bremen,22-055,2000,6,0,115,1,0,1,0,0,0,0,0.3,0.3,0.0,5de1a331,7adbf480,4,1,0.25,1.00,17.9,0,0.08,+0.7,+0.7,0,35,201,71,0.0,0.0,0,2,1,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,55,2,5,17,33,9,55,1,2,9,4,32,8,62,62,0,0,,0,0.13,3,10,-7,+2.43,2.7,10.5,-7.7,+0.61,0,4,1,2,1,0,0,0,0,5,2,0,15
Janina Minge,de GER,"MF,DF",Freiburg,23-180,1999,9,9,810,8,0,8,0,0,0,0,3.2,3.2,1.3,7c63ff02,b4de690d,21,11,0.38,0.73,15.8,0,0.15,+4.8,+4.8,0,401,5550,2161,0.8,-1.3,11,27,7,0,39,27,22,0,2,3,0,0,5,4,0,1,0,0,0,22,14,8,12,2,8,15,7,17,10,7,11,33,22,0,519,46,194,245,87,30,519,4,6,17,5,298,11,4,,0,1,4,3,3.00,0,0,0,-2.34,0.1,0.0,+0.1,-0.09,0,4,4,1,2,14,0,0,0,51,22,20,284
Carolina Moccagatta,,MF,MSV Duisburg,,,1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,d3070f21,0580d9a9,0,0,,,,0,,0.0,0.0,0,1,8,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,1,0,1,1,0,84,84,7,0,,0,3.00,29,5,+24,-2.56,21.8,5.7,+16.2,-0.51,0,0,1,0,0,0,0,0,0,0,0,0,1
Myrthe Moorrees,nl NED,DF,Köln,27-361,1994,9,9,810,1,0,1,0,0,2,0,0.6,0.6,0.1,3598f3b4,88ddc98e,7,2,0.14,0.50,16.5,2,0.08,+0.4,+0.4,0,502,7970,2988,0.1,-0.1,1,22,1,1,27,6,5,0,0,0,0,1,1,1,0,0,0,0,0,12,6,9,3,0,6,10,4,12,8,4,19,31,32,0,600,79,393,194,17,7,600,0,0,4,0,347,0,31,90,1,6,21,2,2.57,10,1,+9,+1.95,7.2,0.5,+6.6,+1.74,0,11,4,0,4,6,0,0,1,65,16,10,394
Athanasia Moraitou,gr GRE,MF,SV Meppen,25-250,1997,9,4,434,0,0,0,0,0,1,0,0.1,0.1,0.4,69d39de8,4ed1418c,3,0,0.00,,33.7,1,0.02,-0.1,-0.1,0,197,1967,611,0.2,-0.4,6,12,3,1,11,12,11,0,0,0,1,0,0,0,0,0,0,0,0,9,2,3,6,0,6,11,5,1,1,0,3,12,5,1,229,7,66,125,41,0,229,1,6,4,3,124,6,,,0,0,,1,,,,,,,,,,0,7,5,0,13,2,0,0,0,40,2,1,120
Adrijana Mori,si SVN,FW,Turbine Potsdam,22-113,2000,2,1,83,0,0,0,0,0,0,0,0.0,0.0,0.0,3279d9c5,de550500,0,0,,,,0,,0.0,0.0,0,24,237,73,0.0,0.0,0,2,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,0,1,0,1,0,0,32,0,2,17,13,0,32,0,0,4,2,18,2,6,,0,5,6,4,2.60,2,0,+2,+5.92,1.2,0.5,+0.7,+2.42,0,2,0,0,0,1,0,0,0,4,0,2,17
Marie Müller,de GER,DF,Freiburg,22-136,2000,6,4,384,1,0,1,0,0,0,0,0.4,0.4,0.0,5650c52c,b4de690d,6,2,0.17,0.50,18.6,0,0.06,+0.6,+0.6,0,273,3544,1403,0.4,0.0,1,11,2,1,17,7,4,3,0,0,0,0,1,1,0,0,0,0,0,9,7,5,3,1,4,7,3,2,0,2,17,26,9,0,322,13,92,156,78,6,322,1,4,4,2,140,17,,,0,0,,8,,,,,,,,,,0,3,1,2,11,7,0,0,0,27,3,1,174
Kari Närdemann,de GER,GK,MSV Duisburg,26-151,1996,1,1,90,0,0,0,0,0,0,0,0.0,0.0,0.0,2672a131,0580d9a9,0,0,,,,0,,0.0,0.0,0,46,511,361,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,55,50,55,0,0,0,55,0,0,0,0,12,0,47,75,1,5,30,1,0.88,5,12,-7,-1.47,2.2,9.3,-7.1,-0.41,0,0,0,0,0,0,0,0,0,3,1,0,25
Katharina Naschenweng,at AUT,DF,Hoffenheim,24-357,1997,9,9,804,5,1,5,0,0,1,0,0.8,0.8,1.9,ea029c1b,87705c62,11,8,0.45,0.63,22.4,3,0.07,+4.2,+4.2,0,454,6233,2931,1.9,-0.9,13,35,14,5,41,30,25,4,1,0,0,0,2,2,0,0,0,0,0,21,12,8,8,5,3,8,5,12,8,4,12,33,22,0,558,32,199,239,126,12,557,2,13,13,5,258,18,70,86,4,2,16,0,1.78,13,16,-3,-2.44,10.0,14.9,-4.9,-1.85,0,4,6,0,40,12,0,0,0,67,3,1,327
